address,beds,baths,area,price,zestimate,best_deal,price per sq ft,detailUrl
"633 S 800 E, Orem, UT 84097",2,1.0,2646,"$410,000",556100,-146100,154.95086923658351,https://www.zillow.com/homedetails/633-S-800-E-Orem-UT-84097/11920640_zpid/
"1553 E Clayton St, Tooele, UT 84074",3,3.0,2014,"$525,000",648300,-123300,260.67527308838135,https://www.zillow.com/homedetails/1553-E-Clayton-St-Tooele-UT-84074/68861251_zpid/
"1430 S Lincoln St, Salt Lake City, UT 84105",5,4.0,3831,"$875,000",936825,-61825,228.39989558861916,https://www.zillow.com/homedetails/1430-S-Lincoln-St-Salt-Lake-City-UT-84105/12769219_zpid/
"6782 S Empress Ln, West Jordan, UT 84081",3,2.0,1575,"$428,000",483500,-55500,271.74603174603175,https://www.zillow.com/homedetails/6782-S-Empress-Ln-West-Jordan-UT-84081/83826839_zpid/
"1556 E Federal Heights Dr, Salt Lake City, UT 84103",5,5.0,5491,"$2,275,000",2328200,-53200,414.31433254416316,https://www.zillow.com/homedetails/1556-E-Federal-Heights-Dr-Salt-Lake-City-UT-84103/12722078_zpid/
"3285 S Davis Blvd, Bountiful, UT 84010",5,4.0,3168,"$659,900",713000,-53100,208.30176767676767,https://www.zillow.com/homedetails/3285-S-Davis-Blvd-Bountiful-UT-84010/68441294_zpid/
"496 W Vine St, Salt Lake City, UT 84123",4,3.0,2440,"$530,000",580600,-50600,217.21311475409837,https://www.zillow.com/homedetails/496-W-Vine-St-Salt-Lake-City-UT-84123/12823846_zpid/
"930 W 600 S, Provo, UT 84601",1,1.0,782,"$299,900",349200,-49300,383.50383631713555,https://www.zillow.com/homedetails/930-W-600-S-Provo-UT-84601/11887548_zpid/
"152 S Dry Creek Ln, Vineyard, UT 84059",4,3.0,3814,"$695,000",744300,-49300,182.22338751966439,https://www.zillow.com/homedetails/152-S-Dry-Creek-Ln-Vineyard-UT-84059/190536760_zpid/
"2344 E Sublette Pl, Sandy, UT 84093",6,3.0,3858,"$825,000",873100,-48100,213.84136858475895,https://www.zillow.com/homedetails/2344-E-Sublette-Pl-Sandy-UT-84093/12886605_zpid/
"897 N Opal Ln, Tooele, UT 84074",3,3.0,1590,"$355,000",402300,-47300,223.27044025157232,https://www.zillow.com/homedetails/897-N-Opal-Ln-Tooele-UT-84074/96639539_zpid/
"3306 W Florlita Ave, West Valley, UT 84119",4,3.0,1942,"$355,000",400600,-45600,182.80123583934088,https://www.zillow.com/homedetails/3306-W-Florlita-Ave-West-Valley-UT-84119/12749974_zpid/
"428 E Edith Ave, Salt Lake City, UT 84111",3,1.0,1811,"$499,900",545400,-45500,276.035339591386,https://www.zillow.com/homedetails/428-E-Edith-Ave-Salt-Lake-City-UT-84111/12758092_zpid/
"851 W Clover Meadow Dr, Murray, UT 84123",5,2.0,2480,"$499,900",542600,-42700,201.57258064516128,https://www.zillow.com/homedetails/851-W-Clover-Meadow-Dr-Murray-UT-84123/12823479_zpid/
"2165 S 1125 E, Bountiful, UT 84010",4,2.0,1980,"$350,000",388965,-38965,176.76767676767676,https://www.zillow.com/homedetails/2165-S-1125-E-Bountiful-UT-84010/12672633_zpid/
"985 Maple St, Ogden, UT 84403",6,3.0,2408,"$400,000",437200,-37200,166.11295681063123,https://www.zillow.com/homedetails/985-Maple-St-Ogden-UT-84403/11968132_zpid/
"171 S 3475 W, Layton, UT 84041",4,3.0,2840,"$572,000",609100,-37100,201.40845070422534,https://www.zillow.com/homedetails/171-S-3475-W-Layton-UT-84041/94678652_zpid/
"6580 S 2600 E, Salt Lake City, UT 84121",4,3.0,2634,"$599,000",635600,-36600,227.41078208048594,https://www.zillow.com/homedetails/6580-S-2600-E-Salt-Lake-City-UT-84121/12872239_zpid/
"4440 S 2525 W, Roy, UT 84067",5,2.0,2094,"$350,000",385400,-35400,167.14422158548234,https://www.zillow.com/homedetails/4440-S-2525-W-Roy-UT-84067/11981718_zpid/
"110 S 800 E APT 405, Salt Lake City, UT 84102",2,1.0,986,"$309,000",339300,-30300,313.3874239350913,https://www.zillow.com/homedetails/110-S-800-E-APT-405-Salt-Lake-City-UT-84102/12752885_zpid/
"5276 S Samuel Ct, Taylorsville, UT 84129",4,2.0,2016,"$430,000",459600,-29600,213.29365079365078,https://www.zillow.com/homedetails/5276-S-Samuel-Ct-Taylorsville-UT-84129/12821391_zpid/
"2869 W Chestnut St, Lehi, UT 84043",5,4.0,3116,"$570,000",599500,-29500,182.9268292682927,https://www.zillow.com/homedetails/2869-W-Chestnut-St-Lehi-UT-84043/82729476_zpid/
"2673 W 4175 S, Roy, UT 84067",5,3.0,1954,"$429,900",458800,-28900,220.0102354145343,https://www.zillow.com/homedetails/2673-W-4175-S-Roy-UT-84067/11983991_zpid/
"2533 S 500 E, Salt Lake City, UT 84106",3,2.0,1784,"$430,000",455964,-25964,241.03139013452915,https://www.zillow.com/homedetails/2533-S-500-E-Salt-Lake-City-UT-84106/12774961_zpid/
"339 Farm Meadow Rd, Farmington, UT 84025",3,3.0,2434,"$525,000",550000,-25000,215.69433032046015,https://www.zillow.com/homedetails/339-Farm-Meadow-Rd-Farmington-UT-84025/83227331_zpid/
"8969 S Flat Iron Dr, Sandy, UT 84093",4,2.0,2214,"$600,000",625000,-25000,271.00271002710025,https://www.zillow.com/homedetails/8969-S-Flat-Iron-Dr-Sandy-UT-84093/12908490_zpid/
"2266 W 5100 S, Roy, UT 84067",4,3.0,2825,"$375,000",400000,-25000,132.7433628318584,https://www.zillow.com/homedetails/2266-W-5100-S-Roy-UT-84067/11985022_zpid/
"308 N 100 E, Hinckley, UT 84635",3,1.0,1146,"$155,000",178900,-23900,135.25305410122164,https://www.zillow.com/homedetails/308-N-100-E-Hinckley-UT-84635/194621398_zpid/
